size,catfriendly,easytraining,watchdog,grooming,coldtolerant,temperament,breed,pictureurl,care,energy,playfulness,dogfriendly,strangerfriendly,protection,heattolerant,exercise,affection,index,infourl
m,3,3,6,4,5,"Bold, independent and headstrong, the Shiba is brimming with self-confidence. He is lively outdoors, yet calm indoors, as long as he gets daily exercise. He may chase small animals. He is a hardy breed, ready for adventure. Some tend to be headstrong and domineering. He is territorial, alert and reserved with strangers, ingredients making for an excellent watchdog. He is quite vocal; some bark a lot.",Shiba Inu,https://www.petfinder.com/images/breeds/dog/1580.jpg,"The Shiba needs a daily workout, either in the form of a vigorous game in the yard, a long walk or a good run in a safe area. He does best when allowed to divide his time between inside and out. His double coat needs brushing one or two times weekly, more when shedding.",4,4,3,4,4,3,4,4,131,https://www.petfinder.com/dog-breeds/Shiba-Inu
m,5,5,6,4,5,"The American Eskimo is bright, eager to please, lively and fun-loving in short, an enjoyable and generally obedient companion. True to the Spitz heritage, he is independent and tenacious and loves to run, especially in cold weather. But he is among the most biddable of Spitz breeds, and is calm and well-mannered inside. He is good with children, other dogs, and pets and is generally outgoing to everyone.",American Eskimo Dog (Standard),https://www.petfinder.com/images/breeds/dog/1410.jpg,"The Eskie is energetic and needs a good workout every day. The extent of the workout depends on the size of the dog, with the larger Eskies needing a good jog or long walk and the smaller ones needing only a vigorous game in the yard or short walk. This breed is so attuned to his family that he does better indoors. The double coat needs brushing and combing twice weekly, more often when shedding.",4,5,4,4,2,2,4,4,8,https://www.petfinder.com/dog-breeds/American-Eskimo-Dog-(Standard)
m,5,4,5,2,2,"The Whippet can make a good apartment dog if taken for a long walk or run daily. Grooming is minimal. The Whippet must have a warm, soft bed. He dislikes cold weather intensely and cannot be expected to live outside. The Whippet can play and run in snow and cold weather but should spend inactive times in warmer temperatures. The hair is extremely short and fine, and the whippet is virtually free of ""doggy odor.""",Whippet,https://www.petfinder.com/images/breeds/dog/1400.jpg,"Perhaps the most demonstrative and obedient of the true sighthounds, the Whippet makes an ideal pet for people who want a quiet house dog and absolutely devoted companion. The Whippet is extremely gentle with children and can make an excellent companion for them. He is calm indoors but loves to run and play outdoors. The whippet is extremely sensitive (both physically and mentally) and cannot take rough treatment or harsh corrections.",4,4,6,4,2,4,4,5,149,https://www.petfinder.com/dog-breeds/Whippet
s,4,3,5,2,4,"The Foxhound is well-mannered in the home. He gets along best with human or canine companionship. He is a tolerant, amiable and gentle dog, even though he is not very demonstrative. Many are reserved with strangers. He is first and foremost a hunter, ever ready to hit the trail. He needs daily exercise in a safe area. Once on a scent, he will follow gleefully, heedless of commands. This is a dog that likes the outdoors. He bays.",American Foxhound,https://www.petfinder.com/images/breeds/dog/1190.jpg,"The Foxhound needs daily exercise, preferably in the form of a long walk or jog. If allowed to run off leash, he should only do so in a safe, enclosed area. They are highly sociable, however, and should never be expected to live alone. The coat is easily maintained, requiring only occasional brushing to remove dead hair.",5,4,6,5,2,4,5,4,10,https://www.petfinder.com/dog-breeds/American-Foxhound
s,4,2,5,4,4,"One of the calmer terriers, the Sealyham is nonetheless ready for action, always happy to investigate, dig or give chase. She is a well-mannered house dog but needs some daily exercise. She can be reserved with strangers, but devoted to her family. She is stubborn and independent. Some dig and bark.",Sealyham Terrier,https://www.petfinder.com/images/breeds/dog/2050.jpg,"The Sealyham's exercise needs are not too demanding, consisting of a short to moderate walk or game session every day. If allowed off leash, she should be in a safe area because she may tend to follow her nose. This breed is suited for indoor life, preferably with yard access, although she can live in an apartment. Her wire coat needs combing two to three times weekly, plus shaping every three months. Shaping for pets is by clipping, or stripping.",3,3,4,4,2,4,3,4,129,https://www.petfinder.com/dog-breeds/Sealyham-Terrier
s,2,2,6,2,2,"Some consider the Basenji to have terrier-like mannerisms because he is feisty for a hound. More often he is considered catlike in mannerisms: clever, inquisitive, stubborn, independent and reserved. His hunting roots are very evident, as he loves to chase and trail. He needs regular mental and physical stimulation, lest he become frustrated and destructive. Basenjis may be barkless, but they are not mute. They do make a sort of yodel, howl and shriek and occasionally bark, but just one or two fox barks at a time.",Basenji,https://www.petfinder.com/images/breeds/dog/1200.jpg,"The Basenji is an active dog that needs daily mental and physical exercise. His needs can be met by a long walk followed by a vigorous game, or by running freely in a safe, enclosed area. He does best as an indoor dog with access to a yard. Coat care is minimal, consisting of only occasional brushing to remove dead hair.",5,4,2,4,2,4,4,4,17,https://www.petfinder.com/dog-breeds/Basenji
m,6,5,5,5,4,"This breed is known as the 'merry' Cocker, and the name is most fitting. He is playful, cheerful, amiable, sweet, sensitive, willing to please and responsive to his family's wishes. He is not known for retaining his hunting instincts, but is inquisitive and will appreciate a country outing. He is equally at home in the city and will happily walk on leash for his exercise needs. Some bark a lot; some are overly submissive.",American Cocker Spaniel,https://www.petfinder.com/images/breeds/dog/1610.jpg,"Although he enjoys a romp, the Cocker can receive adequate exercise with a long daily walk on leash. The coat of the Cocker requires a greater commitment than that of most breeds, although pets can be clipped short. In order to maintain a nice coat, he will need to be brushed and combed two to three times a week, in addition to professional clipping and scissoring every two to three months. Special attention must be paid to ear and eye cleanliness in this breed. The profusely coated feet tend to carry debris. The Cocker is not mentally able to live outside; this is such a social dog that to banish him outdoors would not be acceptable. Cockers have a tendency to become overweight.",4,5,6,5,2,4,4,6,6,https://www.petfinder.com/dog-breeds/American-Cocker-Spaniel
m,4,2,6,2,4,"Very much like the larger bull terrier, the mini is comical, lively, playful and mischievous. Despite her smaller size, she is not a lap dog. She is every bit as tough as the larger version and apt to want to prove herself even more. She is a sweet clown, devoted but not fawning. She is stubborn and independent and needs to be trained with a firm yet gentle hand , and a good sense of humor. She likes to play and investigate. She likes to dig, and needs ample exercise.",Miniature Bull Terrier,https://www.petfinder.com/images/breeds/dog/2000.jpg,"The mini's exercise needs are daily, but not excessive. She needs either a moderate walk or a romp in a safe area. This is not a breed that should live outdoors, but she does do well with access to a yard. She can, however, do well as an apartment or city dog. Coat care is minimal.",5,6,3,4,4,4,4,3,99,https://www.petfinder.com/dog-breeds/Miniature-Bull-Terrier
m,4,2,5,3,4,"Despite his appearance, the PBGV is not a Basset Hound in a wire coat, but in many ways is more terrier-like in temperament. He is a merry, inquisitive, tough, busy dog, always on the lookout for excitement and fun. He loves to sniff, explore, trail and dig , a true hunter at heart. Amiable and playful, he is good with children, other dogs and pets, and he is friendly toward strangers. The PBGV is stubborn and independent. He tends to dig and bark.",Petit Basset Griffon Vendeen,https://www.petfinder.com/images/breeds/dog/1350.jpg,"The PBGV is not content to lie around. His exercise requirements can be easily fulfilled, however, by a good walk on leash or a vigorous romp in the yard. He is happiest when dividing his time between house and yard. The coat needs weekly brushing and occasional tidying of straggling hairs.",5,5,5,5,2,4,4,6,111,https://www.petfinder.com/dog-breeds/Petit-Basset-Griffon-Vendeen
m,4,3,6,6,5,"This is an energetic breed on the lookout for a job. He can be satisfied with a good walk or jog, or a lively game and training session, however. He makes an excellent house dog. His coat can hold debris. His nonshedding coat can be brushed or corded; if brushed, He needs brushing every one to two days. If corded, the cords must be regularly separated because the coat tends to hold dirt; bathing is time consuming and drying takes as much as one day. Pets can be clipped, but then part of the breed's unique appeal is lost.",Puli,https://www.petfinder.com/images/breeds/dog/1140.jpg,"A mop on springs, the Puli is full of bouncing energy. He is busy and curious and needs daily exercise. This smart dog is also headstrong and tough. Alert and watchful, he is also protective of his family. He barks a lot.",5,4,2,2,6,3,4,3,120,https://www.petfinder.com/dog-breeds/Puli
m,5,5,6,2,4,"The Pembroke loves to herd, he can do fine without herding, however. As long as he gets a moderate walk on leash or a good play and training session off leash in a safe area. He is physically able to live outdoors in temperate climates, but he is mentally far better suited to share his family's home and have access to a yard. Coat care consists only of brushing once a week to remove dead hairs.",Pembroke Welsh Corgi,https://www.petfinder.com/images/breeds/dog/1170.jpg,"Quick and quick-witted, the Pembroke Welsh Corgi has an active mind and body. He needs daily physical and mental exercise to be at his best in the house. He is devoted and willing to please, fun-loving, amiable and companionable. He is very good with children and can be reserved with strangers. Many bark a lot.",4,4,4,5,5,4,4,5,110,https://www.petfinder.com/dog-breeds/Pembroke-Welsh-Corgi
m,2,2,6,5,4,"Called the daredevil of dogdom, the Irish terrier is brash, bold, assertive, playful, inquisitive, independent, strong-willed and ever ready for action and adventure. He likes to chase and run and hunt and explore; he needs daily physical and mental exercise in a safe area. Given sufficient exercise, he is surprisingly well-mannered and dignified indoors. He is a loyal and entertaining companion.",Irish Terrier,https://www.petfinder.com/images/breeds/dog/1940.jpg,"This is a dog with an active mind and body. He needs daily entertainment and exercise. He makes a good walking and jogging companion, as well as hiking or hunting partner. His needs can also be met with a rigorous play session. His wire coat needs combing one or two times weekly, plus scissoring and shaping two to four times yearly.",4,6,2,3,5,4,4,3,81,https://www.petfinder.com/dog-breeds/Irish-Terrier
m,5,3,4,2,4,"The Frenchie has minimal exercise requirements, although he is a fun-loving dog. He enjoys a romp outdoors, but doesn't do well in hot, humid weather. Most cannot swim. A short walk on lead is sufficient to meet most of his physical needs. This breed should not live outdoors. The Frenchie snores and may wheeze and drool. He requires minimal coat care, but his facial wrinkles should be regularly cleaned.",French Bulldog,https://www.petfinder.com/images/breeds/dog/1510.jpg,"The French Bulldog is a clown in a lap dog. He enjoys playing and entertaining his family, as well as cuddling and snoozing with his favorite person. He is amiable, sweet, companionable and willing to please.",4,4,4,2,2,2,2,4,66,https://www.petfinder.com/dog-breeds/French-Bulldog
m,6,5,5,4,4,"The English cocker spaniel retains more of her hunting nature than does the American version, and she also needs a little more exercise. She is cheerful, inquisitive, demonstrative, devoted, biddable, loyal and sensitive. This is a sociable dog that likes to stay close to her human family.",English Cocker Spaniel,https://www.petfinder.com/images/breeds/dog/1670.jpg,"Daily exercise is a necessity, either in the form of a long walk on leash, a good run in the field or a lively game in the yard. The English cocker is such a social dog that she does best living inside and playing outside. The medium-length coat needs brushing two to three times per week, plus clipping around the head and ears scissoring around the feet and tail every two months. The ears should be cleaned weekly.",4,5,6,5,3,4,4,6,58,https://www.petfinder.com/dog-breeds/English-Cocker-Spaniel
s,4,2,6,4,4,"The Pomeranian is active but diminutive, needing daily exercise but able to meet his needs with indoor games or short walks. Although he has a warm coat, he is too small and too family-oriented to live as an outdoor dog. His double coat needs brushing twice weekly, more when shedding.",Pomeranian,https://www.petfinder.com/images/breeds/dog/2270.jpg,"Bouncy, bold and busy, the Pomeranian makes the most of every day. He is curious, playful, self-confident (even cocky) and attentive, ever ready for a game or adventure. Some bark a lot.",5,5,2,2,2,4,2,2,114,https://www.petfinder.com/dog-breeds/Pomeranian
m,5,5,6,2,4,"Fun-loving and high-spirited, yet easygoing, the Cardigan is a devoted and amusing companion. This is a hardy breed, capable of a day dodging cow kicks, so he is agile and tireless. At home he is well-mannered but inclined to bark. He tends to be reserved with strangers.",Cardigan Welsh Corgi,https://www.petfinder.com/images/breeds/dog/1160.jpg,The Cardigan needs a surprising amount of exercise for its size. His needs can best be met with a moderate walk or vigorous play session. He is a very good house dog and best when he is allowed access to both house and yard. His coat needs brushing once a week to remove dead hair.,4,4,2,4,5,4,3,4,43,https://www.petfinder.com/dog-breeds/Cardigan-Welsh-Corgi
m,4,5,5,2,4,"The Brittany is generally a hardy dog that requires little maintenance. Her major requirement is for abundant exercise, at least an hour of exertion every day. She is a social dog that needs human interaction. Her coat is not particularly thick or long, but it does require brushing once or twice weekly.",Brittany,https://www.petfinder.com/images/breeds/dog/1630.jpg,"The Brittany is quick and curious, always on the lookout for birds or fun. She loves to run, scout, hunt and play. She has an independent nature, befitting any pointing breed, yet she is sensitive and very responsive to human direction. The Brittany makes a good house pet, as long as she receives daily mental and physical exercise. If not given sufficient exercise, she can become destructive.",5,5,4,6,2,4,6,6,36,https://www.petfinder.com/dog-breeds/Brittany
m,4,4,5,4,4,"As his name implies, the American Water Spaniel is a natural lover of water. Not only is he a skilled retriever and versatile hunter, but is also a tractable fun-loving family dog, as long as he gets regular physical and mental exercise. He is sensitive and willing to please. Some can be timid. Generally good with other dogs in the household. Barking can be a definite problem; some also whine or drool.",American Water Spaniel,https://www.petfinder.com/images/breeds/dog/1620.jpg,"Like all hunting dogs, the American Water Spaniel needs daily exercise, although these requirements can be met with a long walk. The coat is oily and needs weekly brushing. Hair may be clipped from the feet and topknot. Ears should be checked regularly.",5,5,3,3,4,4,4,4,12,https://www.petfinder.com/dog-breeds/American-Water-Spaniel
m,2,6,5,4,4,Few dogs are as work-oriented as the Border Collie. This is a dog that needs a job. He needs a lot of physical and mental activity every day to satisfy his quest for work. He enjoys being with his family. Its coat needs brushing or combing twice weekly.,Border Collie,https://www.petfinder.com/images/breeds/dog/1070.jpg,"The Border Collie is a bundle of mental and physical energy awaiting its chance to be unleashed on the world. Among the most intelligent and obedient of breeds. Given sufficient exercise, he is a dependable and loyal companion. He is intent on whatever he does and tends to stare, which can be unnerving to other animals. He also likes to chase other animals. He is reserved, even protective, toward strangers.",6,5,4,3,4,4,6,4,29,https://www.petfinder.com/dog-breeds/Border-Collie
m,4,4,5,4,5,"Like most Spitz breeds, the Finkie is independent and somewhat stubborn, although he is more hunting oriented than other Spitz breeds. He is alert, inquisitive and playful, but is also sensitive, tending to be devoted to one person. He is a breed conscious of his place in the dominance hierarchy, and some males can try to be domineering. He is good with children, and generally good with other pets. He can be reserved, even aloof or suspicious, with strangers. In keeping with his barking heritage, the Finkie is proud of his barking ability and likes to show it off loudly!",Finnish Spitz,https://www.petfinder.com/images/breeds/dog/1500.jpg,"This is an active and lively breed that needs daily exercise, either a long walk on leash or a run in a fenced area. As Finkies are hunters by nature, care must be taken that they do not go off on a hunt by themselves. The Finkie enjoys living indoors. His double coat needs brushing one or two times weekly, more often when shedding. He is not oily, so the Finkie has little doggy odor; in fact, the Finkie is a particularly clean breed.",4,4,4,2,4,3,4,4,64,https://www.petfinder.com/dog-breeds/Finnish-Spitz
m,2,2,6,6,4,"A versatile terrier, the Kerry blue's personality is multifaceted. She can guard, hunt, herd or just be a fun-loving companion. She needs daily mental and physical activity in a safe area. She loves to run, chase, hunt, explore, play and dig. Indoors, She is well-mannered. She can be protective toward strangers yet greet verified friends with great enthusiasm. She is clever and independent, often stubborn. Some tend to bark.",Kerry Blue Terrier,https://www.petfinder.com/images/breeds/dog/1960.jpg,"The Kerry blue needs a good amount of exercise, but her needs can be met with either a long walk on leash, a vigorous play session or a chance to explore off leash in a safe area. Her coat needs combing about twice a week, plus scissoring and coat shaping every month.",4,5,2,2,5,4,4,4,88,https://www.petfinder.com/dog-breeds/Kerry-Blue-Terrier
m,4,4,5,5,4,"This is an athletic dog that needs a good daily workout, either in the form of a moderate to long walk or an invigorating game in the yard. He should be allowed loose only in a safe area because he still loves to hunt and chase. The Wheaten is best suited as an indoor dog. His long coat needs brushing or combing every two days. As a nonshedding dog, loose hair becomes entangled in the coat and will mat if not combed out. Bathing and trimming every other month is necessary to maintain the desirable coat and silhouette; pets can be better managed if their coats are clipped to about 3 inches, but then they lose the breed's typical outline.",Soft Coated Wheaten Terrier,https://www.petfinder.com/images/breeds/dog/2080.jpg,"The Wheaten makes a playful companion at home and a fun-loving partner in the field. He is affectionate, congenial and much gentler than most terriers. He is generally responsive to his family's wishes but can be headstrong at times. Most are good with children and usually good with other household dogs and pets. He may dig or jump.",4,5,4,5,3,2,4,6,137,https://www.petfinder.com/dog-breeds/Soft-Coated-Wheaten-Terrier
m,4,4,4,2,3,"This is an athletic breed that needs a good walk on leash every day. He also enjoys a good game in the yard or a run in a safe area. The Stafford is a dog that craves human contact; thus, he is far better suited as a house dog. Coat care is minimal.",Staffordshire Bull Terrier,https://www.petfinder.com/images/breeds/dog/2090.jpg,"The Staffordshire bull terrier is a fun-loving character that loves playing with its family and friends. He is typically playful, companionable, amiable, docile and generally responsive to his family's wishes. his love of a good game is rivaled only by his need for human companionship. He is also characteristically friendly toward strangers. Some can be strong-willed. Although he doesn't usually look for a fight, he is fearless and tenacious. He may not do well around strange dogs. He is generally very good with children; although usually gentle, some can be rambunctious. In the United Kingdom the Stafford is known as the Nanny Dog, in reference to its eagerness and ability to assume the role of a child's nursemaid.",4,6,3,4,4,3,4,5,139,https://www.petfinder.com/dog-breeds/Staffordshire-Bull-Terrier
m,2,2,6,5,4,"The Welsh, although more mild-mannered than many terriers, is still playful and mischievous enough to provide plenty of entertainment and challenges, yet he is calm enough to be a reliable house pet. He is independent, inquisitive and sensitive. He needs daily exercise in a safe area. He may dig and bark.",Welsh Terrier,https://www.petfinder.com/images/breeds/dog/2100.jpg,"The Welsh terrier needs a moderate walk on leash every day or an invigorating play session. If allowed to run off leash, he should be in a safe area because he tends to hunt. The Welsh does best when allowed access to house and yard. His wiry jacket needs combing two to three times weekly, plus shaping every three months. Shaping for pets is by clipping or stripping.",4,4,4,2,2,4,4,4,147,https://www.petfinder.com/dog-breeds/Welsh-Terrier
m,5,3,5,4,4,"The Sussex spaniel tends to be less playful and demonstrative than other spaniels, with a lower energy level. This makes her better suited for city life, but she still appreciates the chance to take to the wilds and hunt up birds. She tends to bark when hunting, which has made her less popular with hunters than other breeds; some also bark or howl when not hunting. At home she is calm, steady and easygoing. Her somber expression is misleading because she is quite cheerful.",Sussex Spaniel,https://www.petfinder.com/images/breeds/dog/1810.jpg,"The Sussex needs daily exercise, but her needs can be met with a good walk on lead or a short romp in the yard. Given the chance, she will appreciate a longer foray into the field. She generally does best as a house dog that also has access to a yard. The coat needs brushing and combing two to three times a week, plus scissoring every few months.",4,4,4,4,4,4,4,5,141,https://www.petfinder.com/dog-breeds/Sussex-Spaniel
m,5,4,5,4,4,"Less exuberant that the English springer, the Welsh springer spaniel is steady and easygoing. She still needs plenty of hard exercise, however, as she loves to hunt for birds. She is extremely devoted to her family, but she is independent in nature.",Welsh Springer Spaniel,https://www.petfinder.com/images/breeds/dog/1840.jpg,"The Welsh needs daily exercise, which can be met with long walks on leash combined with strenuous games in the yard. She especially likes jaunts afield and makes a good hiking companion. She does best living inside with her family. The coat needs brushing once or twice weekly and also needs occasional scissoring to neaten stragglers.",4,4,4,3,3,4,4,4,146,https://www.petfinder.com/dog-breeds/Welsh-Springer-Spaniel
m,3,6,6,3,4,"The Australian Cattle Dog was bred to be active and tireless. This dog needs a lot of physical and mental activity, more than a simple walk on a leash can provide. A good jog or long workout, coupled with obedience lessons or other intellectual challenges, is essential every day. The Australian Cattle Dog is happiest when he has a job to perform. The Australian Cattle Dog needs brushing or combing weekly to remove dead hairs.",Australian Cattle Dog,https://www.petfinder.com/images/breeds/dog/1010.jpg,"Smart, hardy, independent, stubborn, tenacious, energetic and untiring, these are all traits essential to a driver of headstrong cattle, and all traits of the Australian Cattle Dog. This dog must have a job to do or he will expend his efforts on unacceptable jobs of his own. Given challenging mental and hard physical exercise daily, he is among the most responsive and obedient of dogs, an exemplary partner in adventure. He tends to nip at the heels of running children.",6,5,4,3,5,4,6,4,14,https://www.petfinder.com/dog-breeds/Australian-Cattle-Dog
m,6,5,5,4,4,"The field spaniel is happiest when he has a job to do. Although independent in nature, he is devoted, sensitive and willing to please. Always cheerful and affectionate, he is an excellent family companion as long as he is given regular exercise. The field spaniel is especially known for his tractable nature. It is typical for a field spaniel to be somewhat reserved with strangers.",Field Spaniel,https://www.petfinder.com/images/breeds/dog/1700.jpg,"The field spaniel needs daily exercise, and even though he is happiest when given the chance to run and explore, his needs can be met with a long walk on leash. He does best when allowed to divide his time between house and yard. He thrives on human companionship and should not be deprived of his family. His coat needs brushing and combing once or twice weekly. Straggling hairs should be scissored every few months. The ears should be checked and cleaned regularly. Some can be somewhat sloppy, and some snore.",5,5,4,6,3,4,5,6,63,https://www.petfinder.com/dog-breeds/Field-Spaniel
m,4,4,5,2,3,"The Saluki tends to be aloof and reserved with strangers. He is extremely devoted to his own family, but is not particularly demonstrative. The Saluki is very gentle with children. Extremely sensitive, he does not take to rough-and-tumble play or deal well with harsh corrections. Some Salukis can be shy. This breed is very quiet and sedate indoors, seeking out a soft, warm spot. Outside, he runs in great circles at tremendous speeds and will chase any small running animals or fast-moving objects. The Saluki may not come when called.",Saluki (or Gazelle Hound),https://www.petfinder.com/images/breeds/dog/1380.jpg,"Daily exercise is essential, preferably in the form of free running in a safe, enclosed area. The Saluki's needs can also be met with long leash walks or jogging. Salukis should sleep inside and they do best as indoor dogs with access to a yard. They can play in snow and cold weather but should not be expected to spend extended time in the cold. The Saluki must have a soft bed, or he could develop callouses. A Saluki in proper weight is naturally thin; however, this breed tends to be a picky eater, which can result in a very thin-looking dog. Many people not familiar with the Saluki wrongly assume that the dog is not being fed properly! The smooth coat needs only occasional brushing to remove dead hair, but the feathered coat needs combing once or twice a week to prevent matting.",3,4,4,2,3,4,4,4,124,https://www.petfinder.com/dog-breeds/Saluki-(or-Gazelle-Hound)
s,5,4,6,4,3,"The Japanese Chin is a devoted companion, relishing a warm lap as much as a boisterous game. He is sensitive and willing to please, tending to shadow his family. He is a friend to all: strangers, dogs and pets. His playfulness and gentleness make him a good child's companion for equally gentle children. The breed has been described as almost catlike, some even climb.",Japanese Chin,https://www.petfinder.com/images/breeds/dog/2210.jpg,"The Japanese Chin is lively but small enough that his exercise needs can be met with a short walk, romp or game. This is not a breed that can live outside. He does not do well in hot humid weather. Some Chins tend to wheeze. The long coat needs combing twice weekly.",4,5,5,6,2,3,2,6,86,https://www.petfinder.com/dog-breeds/Japanese-Chin
s,4,4,6,4,4,"The exercise requirements of the Maltese are easily met with indoor games, a romp in the yard or a short walk on leash. Despite her coat, the Maltese is not an outdoor dog. The coat needs combing every one or two days. The white coat may be difficult to keep clean in some areas. Pets may be clipped for easier care.",Maltese,https://www.petfinder.com/images/breeds/dog/2220.jpg,"Long a favorite lap dog, the gentle Maltese fills this role admirably. She also has a wild side and loves to run and play. Despite her innocent look, she is bold and feisty and may challenge larger dogs. She can be reserved with strangers. Some bark a lot.",5,5,4,2,2,3,2,4,95,https://www.petfinder.com/dog-breeds/Maltese
s,4,6,6,6,3,"The pert and peppy toy poodle is one of the brightest and easiest breeds to train. She is alert, responsive, playful, lively, sensitive and eager to please. She is devoted to her family. Some can be reserved with strangers; others may bark a lot.",Poodle (Toy),https://www.petfinder.com/images/breeds/dog/2280.jpg,"Poodles need a lot of interaction with people. They also need mental and physical exercise. The toy poodle's exercise needs can be met with a short walk or even indoor games. This is not a breed that should ever live outside, although she enjoys access to a yard. Her coat should be brushed every day or two. Poodle hair, when shed, does not fall out but becomes caught in the surrounding hair, which can cause matting if not removed. Clipping should be done at least four times a year, with the face and feet clipped monthly. Although most poodles are professionally groomed, poodle parents can learn to groom their own dog.",5,6,4,5,2,4,3,5,117,https://www.petfinder.com/dog-breeds/Poodle-(Toy)
m,4,4,6,5,4,"Bold and lively, the standard schnauzer is a fun-loving companion and guardian. He is clever and headstrong, and unless given daily physical and mental exercise, he can be mischievous. He does best with a firm, patient parent. He is a devoted family dog and very reliable with children. He is good with other family pets. He can be reserved with strangers, sometimes acting suspicious and protective.",Standard Schnauzer,https://www.petfinder.com/images/breeds/dog/2530.jpg,"The standard schnauzer needs daily exertion, either a long walk on leash, a vigorous game or an off-lead outing in a safe area. He is better off dividing his time between house and yard. His harsh coat needs combing twice weekly, plus professional scissoring and shaping four times yearly. Shaping is done by clipping or stripping.",5,4,3,2,6,4,4,3,140,https://www.petfinder.com/dog-breeds/Standard-Schnauzer
m,4,3,5,3,4,"The Basset Hound is among the most good-natured and easygoing of breeds. He is amiable with dogs, other pets and children, although children must be cautioned not to put strain on his back with their games. He is calm inside, but needs regular exercise to keep fit. He prefers to investigate slowly, and loves to sniff and trail. He is a talented and determined tracker, not easily dissuaded from his course. Because of this, he may get on a trail and follow it until he becomes lost. He tends to be stubborn and slow-moving. He has a loud bay that he uses when excited on the trail.",Basset Hound,https://www.petfinder.com/images/breeds/dog/1210.jpg,"The Basset needs mild daily exercise, which can be satisfied by walking on leash or playing in the yard. He does best as a house dog with access to a yard. His coat needs only minimal grooming, but his face may need regular cleaning around the mouth and wrinkles. Bassets tend to drool.",2,2,4,4,2,4,2,4,18,https://www.petfinder.com/dog-breeds/Basset-Hound
m,4,4,5,3,3,"The Dalmatian needs a lot of regular exercise and attention. He needs more than a short walk on leash; he makes a good jogging companion. The Dalmatian's needs can also be met with vigorous games and runs. Although the Dal needs shelter, soft bedding and, most of all, companionship. Thus, he is best allowed to live in the house and play in the yard. The coat needs only minimal care, but more frequent brushing will help remove dead hair.",Dalmatian,https://www.petfinder.com/images/breeds/dog/1490.jpg,"Bred to run for miles, the Dalmatian retains this tireless enthusiasm. It is a playful, eager companion that must get daily hard exercise in a safe area if he is expected to behave at home. He loves to run and may roam. He is generally good with other pets and is especially good with horses. He tends to be reserved toward strangers. He can be stubborn. Note: Deaf Dalmatians present special training and behavioral problems. They are not advised for families with children.",5,4,4,4,4,4,4,6,55,https://www.petfinder.com/dog-breeds/Dalmatian
m,5,4,5,6,4,"This active breed needs daily physical and mental exercise, preferably involving swimming and retrieving. Otherwise, he needs a long walk or jog or a vigorous romp. He is happiest living close to his family. His coat needs combing every other day, plus monthly clipping or scissoring.",Portuguese Water Dog,https://www.petfinder.com/images/breeds/dog/2480.jpg,"The gregarious Portuguese water dog is a fun-loving, family-loving, water-loving dog. He is good with children, and other dogs and pets. He is sensitive and responds well to direction. He is a good breed for an active person wanting an adventurous, affectionate, biddable partner.",5,5,4,4,4,4,5,5,118,https://www.petfinder.com/dog-breeds/Portuguese-Water-Dog
m,5,4,6,4,5,"The Keeshond combines many traits of the best house dogs: fairly energetic and playful, very attentive and loving, and ready for adventure yet content to take it easy. He is sensitive and learns readily. He makes a good companion for a child or adult. He is friendly to all but, nonetheless, an alert watchdog.",Keeshond,https://www.petfinder.com/images/breeds/dog/1520.jpg,"This is a lively breed that can have his exercise needs met with moderate exercise, such as a good walk on leash, combined with a vigorous game. He is such a sociable dog that he prefers to share his life with his family. The double coat needs brushing once or twice weekly, and more when shedding.",4,4,4,5,2,2,4,6,87,https://www.petfinder.com/dog-breeds/Keeshond
m,3,4,5,5,4,"This is an active breed that needs a chance to get vigorous exercise every day. His needs can be met with a long walk, a strenuous game or a chance to hunt and romp in a safe area. His wire coat needs combing twice weekly, plus scissoring and shaping every one to two months.",Airedale Terrier,https://www.petfinder.com/images/breeds/dog/1860.jpg,"Among the most versatile of terriers, the Airedale is bold, playful and adventurous; he is a lively yet protective companion. He is intelligent, but often stubborn and headstrong. Some can be domineering, but most are biddable, reliable and responsive to their family's wishes. He makes a good house dog as long as he gets daily mental and physical exercise. He likes to be the head dog and may not do well when another dog challenges that position, although they usually get along well with other dogs.",5,5,2,4,5,4,4,4,3,https://www.petfinder.com/dog-breeds/Airedale-Terrier
m,5,5,6,2,4,"Not only does the Canaan Dog excel as a herder, but he has also proven himself in a variety of tasks involving dependability and obedience. This is an intelligent, devoted, docile dog that is quite tractable and willing to please. He can be aloof toward strangers and protective of his family. The Canaan Dog is generally good with other household pets and dogs. He is a natural guardian and tends to bark a lot.",Canaan Dog,https://www.petfinder.com/images/breeds/dog/1100.jpg,"Few breeds can claim as pure a working heritage as the Canaan Dog. This dog will not be happy just sitting around. He needs lots of exercise and mental and physical challenges. These needs can be met with herding exercise, a long jog, or a strenuous game session along with a challenging training session. He makes an excellent house dog. His coat needs brushing about once a week to remove dead hairs.",4,4,4,3,4,4,5,4,42,https://www.petfinder.com/dog-breeds/Canaan-Dog
m,4,4,5,5,5,"The boisterous Beardie is lively and playful, full of enthusiasm and energy. He is smart and obedient, but is an independent thinker with a clownish sense of humor.",Bearded Collie,https://www.petfinder.com/images/breeds/dog/1030.jpg,"This active dog needs either a good jog, a very long walk or a vigorous play session every day. He especially enjoys herding. His long coat needs brushing or combing every other day.",5,5,4,4,3,4,5,5,20,https://www.petfinder.com/dog-breeds/Bearded-Collie
